Coach,Race,Team,Team2,Race2,Coach2
koso,Skaven,Rat Burger Lovers,Knights Saying Ni,Bretonnia,Sandland
FreddieGibbs,Orc,Da Big Mulligans!,Lords of Decay,Skaven,Kallisti Maya
Zeazetta,Chaos,Ars Goatia,Dead Wrestler's Society,Lizardman,Dranar
Crowdog09,Necromantic,Drop Dead Gore Juice,Ravens Claws,Skaven,Gaudi
Manus Atra,Orc,Da Waagh Tigerz,Broken Boyz,Khemri,shaselbob
CthulhuCollect,Lizardman,Sci-Fi Sauri,The Blessed Ratmen,Skaven,dwarfbane
Jimmy Burrito,Necromantic,Thick Rich and Creamy,Grungy Desserts,Nurgle,Stouticus
Mr Shady,Kislev,Fear the Leaper,Marvellous Mutants,Chaos,vikingkop
Ledeas,Dark Elf,Fruity Kisses,Maybe orc will work,Orc,Gerbear
eFTy,Dwarf,Children of Ymir,Great Cold Ones [REBBL],Norse,IsenMike
Watchtower,Amazon,Jungler Beats,The Rowdy REBBL Rousers,Nurgle,Atomex
KingoftheCosmos,Undead,Adventuring Elites,Wood United,Wood Elf,Luke4444
cobranet,Dwarf,Bad Dorfs Reddit,Bloodhorse,Chaos Dwarf,riffCannon
NotNiloc,Lizardman,Scaled Measures,Picking Flowers,Chaos Dwarf,Mego
Highlord Salt,Nurgle,Nurgle's FTDs,Warpstone Sneaky Servants,Underworld,karlosibz
PaoloB,Vampire,Who Bat,Sneaky Blinders,Underworld,Aromasin
razta,Chaos,Revenge of Power UP!,Clawtimore Rams,Chaos,Hudd
Travelscrabble,Necromantic,Scooby and the Gang,M.A.D. Commando,Nurgle,Glordion
hazzzard,Skaven,Marginal Annoyances,[REBBL] Brutalia,Dwarf,Docmarc
SamSlade,Underworld,Cold Coast Creeps,Victims of the Sun,Bretonnia,Cyberknight
Ahsoka,Necromantic,Ghorst's Group,First & Forsaken Lions,High Elf,RK Blaze
McMacky,Khemri,Khemri do it? Yes we can!,Deustuko Chorfs,Chaos Dwarf,Ricky_titan
Daerkannon,Khemri,Khamun Konsulting,Ace Trucking Co.,Chaos Dwarf,qix96
OrganizedCrisis,Orc,Dazzle Whaaagstaz,United Scarab Khemirates,Khemri,Harringzord
Gypsy Prince,Ogre,:one: :punch: :Ogre:,Serpent Lords,Dark Elf,Koloski
RandomusNamus,Chaos Dwarf,Hausdorff's Homewreckers,Leaping Lizardss,Lizardman,Seriasssam
Sir Willis III,Kislev,Royaltons Circus,Balthor's Bashers,Dwarf,Viltris
AussieVikingr,Chaos Dwarf,Winged Centaurs,Pantheon Passers,Pro Elf,tself55
ondoval,Dark Elf,[ReBBL] Legion of Doom,The Scuffling Dead,Necromantic,serj
DeezMFK,Norse,Drakkar's Dominators,Bitten Heroes,Vampire,ERR40
Superfedtv,Kislev,Reality Kings,The Big Bark Ballers,Necromantic,Rideable Llama
Professor Chaos,Orc,Greenskin Brawlers,Blighty Moes,Nurgle,Kenn
Uber The Noober,Necromantic,High Fivers,New Year Norse,Norse,Ornan
Lavajackal,Nurgle,Chosen of Papa Nurgle,Train of Pain,Lizardman,The_Beast
Archxl,High Elf,Not An Anime Sports Team,Oil Miners,Dwarf,Pigsofa
The Peacock,Goblin,The Bizkit Rizkitz,Cyrus's Viruses,Nurgle,g-doggidy
DavidLeClair,Wood Elf,"All Bark, No Bite",Bare Gills,Kislev,Khornight
Randomaxomus,Skaven,Squeeky Blinders,The Bash Gordons,Orc,RogueShenanigan
king cann,Lizardman,Cold one Cannibals,Ready Lizard One,Lizardman,Hoylerboy
Tommo,Pro Elf,The Arcana,RAGE DORF,Dwarf,UnseenWalker
Troukk,Nurgle,The Torture Club,Gotta Catch Em AIl,Nurgle,Steakmittens
urwendor,Undead,Urwendors Requiem,Famous Wizards,High Elf,Chowshawk
Masterful,Khemri,Blood ==> Sand,Deepdeepdeep Undercoverer,Underworld,Wakrob
theshinebox,Khemri,Xeebob's Xandalators,Bark Brothers,Wood Elf,Mighty Zug
Cat Attack Man,Lizardman,Fork Tonnes,Orxploitation Cinema,Orc,DasShootenheime
Dreamifi,Pro Elf,House Fiery Balls,Saturday Nyght Femur,Undead,Fyrs Yced
Duuberman,Wood Elf,Live Tree or Die Hard,,Ratskin Cracker Wreckerz,Skaven,Pinosaurus
Razour Sharp,Dwarf,Liverfull,Rat Street Boys,Skaven,Malcomdw
Rama Set,High Elf,The Voltrex Vanguard,Warc Machine III,Orc,Lyskaris
rsVordoca,Chaos,Chaos from Laos,Badlands Fairies,Orc,powod
Golg0than,Skaven,Ratz Off To Ya,Bloodthirsty Sea Guard,High Elf,Tyladrhas
Rollingred,Lizardman,Fogmire Fenbeasts,Red Velvet Titans,Dwarf,Ernedar
WesleyC,Necromantic,WesC's Wolves,[G] Absolute Disaster,Dark Elf,TomasT
Regnen,Orc,The Revenge of the Franks,REBBL Rage Quit,Chaos Dwarf,orabbi
Spartakus,Underworld,Kingslayerzs,Teenage Ninja Rats,Skaven,Uppme
GemeneRick,Lizardman,The Lizzardblizzard,School of Dance,Wood Elf,Morka
MATCHU,Dark Elf,ARANELFOS,Flinging Fun,Halfling,MrChristie
NinjaPirateRobo,Skaven,Eat-Eat Man-Things!!,Elm Street Boys,Necromantic,Sliceanddice
Razzle Storm,Skaven,Rats Against Teen Stars,Crystal Core Processer,Underworld,jokse
strategiccheese,Orc,cheesetactics mk.II,Faces of 4chan,Nurgle,Darkness